Timestamp,GSR
1699742456584, 424
1699742458531, 426
1699742460782, 425
1699742462520, 420
1699742464474, 421
1699742466308, 425
1699742468337, 425
1699742470312, 421
1699742473307, 421
1699742475996, 421
1699742478090, 418
1699742479934, 416
1699742481878, 415
1699742484050, 420
1699742486283, 415
1699742488022, 420
1699742489762, 420
1699742492014, 422
1699742494173, 422
1699742496213, 418
1699742498658, 425
1699742500434, 422
1699742502352, 419
1699742504202, 420
1699742505944, 425
1699742507685, 424
1699742509731, 427
1699742511574, 426
1699742513418, 418
1699742515162, 422
1699742517410, 426
1699742519256, 423
1699742520901, 426
1699742523613, 415
1699742525385, 408
1699742527357, 411
1699742529150, 417
1699742531767, 416
1699742534520, 413
1699742537486, 411
1699742539739, 418
1699742541894, 418
1699742544137, 413
1699742546089, 415
1699742549233, 411
1699742551465, 411
1699742553380, 413
1699742556392, 406
1699742559393, 416
1699742561861, 411
1699742564820, 416
1699742566869, 415
1699742568921, 391
1699742570865, 370
1699742573380, 381
1699742577075, 381
1699742579159, 380
1699742581210, 385
1699742582952, 382
1699742585201, 381
1699742586938, 379
1699742588991, 375
1699742590731, 383
1699742592644, 378
1699742594925, 387
1699742597102, 382
1699742601197, 384
1699742603999, 380
1699742606000, 380
1699742607898, 387
1699742609569, 383
1699742611828, 390
1699742613463, 384
1699742615443, 393
1699742617453, 390
1699742619609, 394
1699742622169, 391
1699742624424, 393
1699742627897, 380
1699742629848, 347
1699742631770, 336
1699742633634, 342
1699742635377, 334
1699742636876, 335
